rank,fixed_group,moving_group,candidate_count,trial_count,inlier_count,score,median_residual,rotation_degrees,scale,translate_x,translate_y
1,Structure 2,Structure 3,761,678,26,24.864389567013788,60.43681347659374,1.8728688123383177,1.0,-1177.858902949789,8326.565138373231
2,Structure 2,Structure 2,785,4697,6,4.3509026281888845,119.66765301417036,68.33831599128513,1.0,31707.712284680605,-7565.901358053085
3,Structure 1,Structure 2,361,3289,6,4.229914156366038,123.34225199113254,-83.13621139016375,1.0,-5056.3187997570785,24046.267314394412
4,Structure 3,Structure 2,444,14222,5,3.792357885724322,119.73894197218938,-138.69595289054138,1.0,18674.137202441034,35467.528269191855
5,Structure 1,Structure 4,361,8134,5,3.6655934930637346,87.07815380627622,175.186134981262,1.0,37234.914981200105,19780.285523623534
6,Structure 2,Structure 4,764,11563,5,3.575796308531171,84.58517228610705,-222.82439507706326,1.0,60339.43817675977,9958.051322570607
7,Structure 2,Structure 1,734,14381,5,3.516184927832213,78.49526176425792,212.6666694332699,1.0,38874.386066598745,38820.50194201234
8,Structure 1,Structure 1,349,12202,4,3.504446384601467,8.379658117826862,49.15790019664573,1.0,28852.49349745056,-18313.954745729246
9,Structure 3,Structure 1,441,4356,4,3.326620281180466,86.86780249178257,-13.124905869960596,1.0,-2752.5336126521943,-4231.270960511423
10,Structure 1,Structure 3,332,6773,3,3.2669352212529943,0.23347384898697104,-97.24734584308554,1.0,-86.26077782113498,30086.12505904567
11,Structure 3,Structure 4,444,9062,6,3.246115781195448,314.57472243434324,181.84778219068593,1.0,18416.080801878346,25418.300680408858
12,Structure 3,Structure 3,414,8638,4,2.879980180243613,136.51986604536427,-21.347921204438162,1.0,-9397.976321569527,2249.6039810382563
