fixed_group,moving_group,fixed_node_id,moving_node_id,fixed_feature_index,moving_feature_index,fixed_label,moving_label,fixed_centroid_x,fixed_centroid_y,moving_centroid_x,moving_centroid_y,fixed_area,moving_area,area_ratio,topology_score,area_score,shape_score,descriptor_score,aligned_moving_centroid_x,aligned_moving_centroid_y,anchor_residual,support_score,used_for_transform,total_score
Structure 2,Structure 3,fixed_00159,moving_00315,159,315,Structure 2,Structure 3,13123.289844042147,13879.582176366615,14480.446719321877,5084.54355814006,2102659.7574920626,1781993.2050534517,0.8474947973413043,0.944498427463723,0.9281370408068035,0.9599937935251295,0.9434638529819989,13140.629851999554,13873.899806431435,18.24733416264426,0.9254916730470446,True,0.9254916730470446
Structure 2,Structure 3,fixed_00149,moving_00303,149,303,Structure 2,Structure 3,8795.649217751967,12019.797030495023,10104.25244644463,3350.989598530527,712459.5325480107,681711.8025077084,0.9568428399991542,0.9831248179214644,0.9808406114172594,0.9000249946742734,0.9616646001584053,8825.587360654423,11993.289814240736,39.98655916679305,0.8966361273100283,True,0.8966361273100283
Structure 2,Structure 3,fixed_00161,moving_00317,161,317,Structure 2,Structure 3,9356.679006273858,13764.520013002684,10722.884424280071,5127.126145906757,2078067.2460195154,2233094.1217276976,1.0746014721155595,0.9533286433440262,0.9687525688192267,0.9763716606968909,0.9637165753248025,9383.777842771782,13789.338239144623,36.746309860632635,0.8438939989063251,True,0.8438939989063251
Structure 2,Structure 3,fixed_00169,moving_00334,169,334,Structure 2,Structure 3,9418.451715450487,15452.45077768569,10838.669294546959,6793.963698251816,868694.3134737636,897141.4071224122,1.0327469550651176,0.7410697370967572,0.9860060768165098,0.9597905318431077,0.8692308376992706,9443.106679810344,15459.138721593361,25.54595586972603,0.8033036480588128,True,0.8033036480588128
Structure 2,Structure 3,fixed_00162,moving_00318,162,318,Structure 2,Structure 3,20327.935241501837,13737.216954385613,21639.912893801822,4698.387284289286,630002.2872624402,584840.7721650678,0.9283153156576408,0.7851615144756567,0.967695515648541,0.957807288532831,0.8830831583418157,20309.061682585434,13730.172072155845,20.145510462686556,0.7940083456349308,True,0.7940083456349308
Structure 2,Structure 3,fixed_00202,moving_00361,202,361,Structure 2,Structure 3,30679.852213516435,20586.19976380388,32235.90667284545,11210.033113715775,12894432.575798543,12975657.621376323,1.0062992338050012,0.5632304353742895,0.9972728579813286,0.9732464169608637,0.7959471575530448,30678.69870745476,20596.55711421967,10.421385890071836,0.7807850445700864,True,0.7807850445700864
Structure 2,Structure 3,fixed_00166,moving_00333,166,333,Structure 2,Structure 3,10537.227789064795,14938.813441225897,11951.660585818756,6198.6017126824645,481000.59819911845,447486.32611512474,0.9303238453143879,0.8052900147609677,0.968634152587366,0.8662287356973277,0.8695279363429771,10575.602207651671,14901.770452199296,53.336470054791256,0.7656509945100601,True,0.7656509945100601
Structure 2,Structure 3,fixed_00184,moving_00342,184,342,Structure 2,Structure 3,31114.46325495589,17471.8426335465,32565.389392357407,8058.308521626953,2598849.8483298924,2467319.598048017,0.9493890536360147,0.6586688769541562,0.9774442200378269,0.9826211924856412,0.8352895587621287,31114.616884698047,17457.783132298806,14.060340587326374,0.7607314773017964,True,0.7607314773017964
Structure 2,Structure 3,fixed_00158,moving_00309,158,309,Structure 2,Structure 3,17661.159298069888,13534.985182627292,19017.385087592953,4584.028973403381,1558731.2613011668,1471138.406954413,0.9438050313601622,0.671988852220509,0.9748822882073231,0.7997309115286206,0.7947923978435811,17691.903826682443,13527.15809506896,31.725216141958548,0.7456541321896993,True,0.7456541321896993
Structure 2,Structure 3,fixed_00163,moving_00313,163,313,Structure 2,Structure 3,29872.98864606606,13630.180811171986,31169.99407388557,4278.962865094963,261114.61030020495,259527.61083871202,0.9939222111713001,0.6358358552470611,0.9973523958852021,0.9880823091031892,0.8323524309025354,29847.87702610354,13633.394054680226,25.31636606990314,0.7327192307826245,True,0.7327192307826245
Structure 2,Structure 3,fixed_00146,moving_00302,146,302,Structure 2,Structure 3,17095.485485419442,11768.102826022983,18394.326758147326,2884.3114633362916,732712.1894051081,729424.3990934143,0.9955128488931471,0.7343503822098058,0.9980468697550716,0.8187979865516783,0.8345712295588537,17126.704241170817,11807.33521917222,50.137724149390316,0.716801372033476,True,0.716801372033476
Structure 2,Structure 3,fixed_00211,moving_00380,211,380,Structure 2,Structure 3,1168.358176922751,21696.89060509557,2801.716243486064,13325.424619650737,363824.5127076835,389652.8751965375,1.070991265257616,0.49790840351553445,0.9702140711531,0.9227001132682372,0.7457980312449797,1189.7922319339486,21714.967742370143,28.039286835916574,0.6447870199902529,True,0.6447870199902529
Structure 2,Structure 3,fixed_00217,moving_00384,217,384,Structure 2,Structure 3,19775.799590609266,23202.681404826264,21480.784630018836,14136.929496051862,1194183.4397151812,628215.8599329807,0.526063114794837,0.7693378520816987,0.7210378520677446,0.9076192580552849,0.789418203570909,19830.71498575444,23157.92818510178,70.84173416608645,0.6255091052030574,True,0.6255091052030574
Structure 2,Structure 3,fixed_00157,moving_00304,157,304,Structure 2,Structure 3,27293.230835572565,15381.441441867863,28616.594934792698,6198.019548646297,20168029.589301158,19487704.190022554,0.9662671360002613,0.727972555628435,0.9850972088713906,0.9387454809673164,0.857803182936042,27231.01705451176,15464.969771729327,104.15150715821314,0.6059746521160246,True,0.6059746521160246
Structure 2,Structure 3,fixed_00132,moving_00301,132,301,Structure 2,Structure 3,978.4731467459611,11456.913820914177,2238.8085891978267,3010.687923621328,1396710.007325947,1528971.8571574183,1.0946952832998535,0.3788629433271534,0.9607067531509679,0.9589439722539076,0.6984363435059863,976.1583092378933,11387.091935470378,69.86024734865775,0.5891390819132797,True,0.5891390819132797
Structure 2,Structure 3,fixed_00142,moving_00297,142,297,Structure 2,Structure 3,32050.999590680054,12148.467623161752,33253.37457365861,2711.010583749088,4713805.861553939,4731499.199422097,1.0037535143338137,0.5286271679629344,0.9983729211622181,0.9745442331138032,0.7810301602104368,31983.109405148298,12136.820852029865,68.88196113159711,0.5868647167308215,True,0.5868647167308215
Structure 2,Structure 3,fixed_00203,moving_00365,203,365,Structure 2,Structure 3,27377.10292248206,19568.994340792808,28810.249280039276,10250.279735850912,2574257.335822244,2565636.4645334594,0.9966511229593015,0.6856186879548798,0.9985431604285359,0.6707745857585479,0.7757850041478936,27287.47102627747,19521.461800478843,101.45550357634,0.5369512450169753,True,0.5369512450169753
Structure 2,Structure 3,fixed_00194,moving_00358,194,358,Structure 2,Structure 3,19056.731633049385,18468.59250750918,20666.898003517774,9566.980321411478,1726538.9889198332,1461017.5524069134,0.8462117344485589,0.6922415237641424,0.9274790434142341,0.9029849476520693,0.8154986356311518,19171.897378628524,18563.06080288774,148.95438156203997,0.5038275759391115,True,0.5038275759391115
Structure 2,Structure 3,fixed_00178,moving_00338,178,338,Structure 2,Structure 3,24229.12410072472,16127.933288181304,25505.534620508413,6952.012290291604,436155.42959260405,396882.0563763987,0.9099555558602376,0.6097209565474412,0.9590201809848129,0.6112773958189957,0.7148998336965413,24096.22968136899,16113.282550219075,133.69955429519678,0.44294589433258713,True,0.44294589433258713
Structure 2,Structure 3,fixed_00224,moving_00392,224,392,Structure 2,Structure 3,33313.3046435781,25079.987118618144,34888.808797770595,15668.207365488808,1521119.184654778,1521742.6764569448,1.000409890170643,0.37612579425524817,0.9998220234336346,0.6652385182407539,0.6355128440051405,33179.26052843867,25141.928157714585,147.66352673514348,0.39719796910850913,True,0.39719796910850913
Structure 2,Structure 3,fixed_00193,moving_00351,193,351,Structure 2,Structure 3,20322.16483366281,17718.207240753225,21669.828569147692,8459.197789265301,439048.6661790192,527007.3210775467,1.2003391916983137,0.6357260090267199,0.9206960137293475,0.8683552121292077,0.7793743112131302,20211.730565368096,17489.841905477726,253.66602840995458,0.3303509170844598,True,0.3303509170844598
Structure 2,Structure 3,fixed_00222,moving_00396,222,396,Structure 2,Structure 3,2502.1856103950877,24830.887518102634,4371.8419935341635,16604.116383209,3180390.4209775277,3768572.2427336904,1.184940131210488,0.5658667747640862,0.9263035917144269,0.8525004254944879,0.7456562325317888,2648.0998185393764,25044.900704794152,259.02239327176596,0.2970846637982598,True,0.2970846637982598
Structure 2,Structure 3,fixed_00201,moving_00360,201,360,Structure 2,Structure 3,21279.842972503557,18442.50664364023,22480.78616799309,9363.923598409221,363824.51255165215,474957.2152220398,1.3054568860436806,0.6760716552514495,0.8842374665928642,0.5637878472999375,0.710450446665996,20991.616740179063,18421.48484737925,288.9918284623482,0.26504673519101557,False,0.26504673519101557
Structure 2,Structure 3,fixed_00180,moving_00341,180,341,Structure 2,Structure 3,18440.897843730043,16523.072633095773,20161.795211358953,7582.1020837978795,210482.96858461841,610865.8250413466,2.9022102317782834,0.6421120166061222,0.5372711311146026,0.6768170820452046,0.6193360173184369,18734.232908610287,16562.230909947724,295.9372077558197,0.23766569194044632,False,0.23766569194044632
Structure 2,Structure 3,fixed_00115,moving_00279,115,279,Structure 2,Structure 3,34146.09860980295,10071.042138731986,34737.65437619914,774.6926397445776,4823748.855814029,1852839.1828377447,0.38410772165398516,0.5270991943008454,0.5844530378030558,0.812441230393897,0.6156408563747714,33532.04597128286,10251.825035961598,640.1117861781811,0.07018816057833314,False,0.07018816057833314
Structure 2,Structure 3,fixed_00160,moving_00306,160,306,Structure 2,Structure 3,33780.816832887045,15229.992396181971,34374.3123089963,5637.566294067623,13020288.37195363,6666028.131325466,0.5119723880835414,0.5101083578467231,0.7092465390494289,0.5551242021188612,0.5811037732755694,33004.39899571003,15099.623124256657,787.2869902068586,0.04033652221326277,False,0.04033652221326277
