rank,fixed_group,moving_group,candidate_count,trial_count,inlier_count,score,median_residual,rotation_degrees,scale,translate_x,translate_y
1,Structure 3,Structure 3,760,1015,27,25.677706616496764,52.250451978232405,1.883495117700154,1.0,-1179.0567067599586,8322.372483429592
2,Structure 2,Structure 1,444,8110,7,5.7380292950149565,102.51062126617336,1.996613908781423,1.0,-1092.0485644979308,8277.706576733111
3,Structure 3,Structure 1,748,3627,8,4.54050897987103,234.85464403190548,237.4115889523453,1.0,11208.100152857816,43488.86088556661
4,Structure 2,Structure 2,444,3273,5,4.317444142871588,72.20567589752005,37.00066560616685,1.0,4968.209636731412,-9318.297920081692
5,Structure 1,Structure 1,352,10556,5,4.199354496903341,108.5726240492933,2.0561357559050153,1.0,-1191.0047751183156,8288.19165659617
6,Structure 3,Structure 2,749,11463,7,4.0407322093436235,254.409836637431,190.7953872212274,1.0,33713.81720297199,34658.10089661216
7,Structure 3,Structure 4,701,3958,6,3.9291288895665293,189.75324272864842,138.14806139467257,1.0,45590.09941319308,8224.779094622665
8,Structure 1,Structure 2,357,5335,5,3.4139823833562257,125.16369886435295,86.99113671656293,1.0,42956.00962194892,-20256.47003675776
9,Structure 2,Structure 4,432,12321,3,3.2925955473285713,12.597563049069079,183.01123721796998,1.0,36573.58765144732,27390.915382120853
10,Structure 1,Structure 3,329,6579,3,3.2430432464530314,15.887182674651871,263.49133711912896,1.0,-439.64447114329596,29829.55885217193
11,Structure 2,Structure 3,406,5336,3,3.221026023871496,5.1042898689089915,74.48488126040505,1.0,25563.79156931773,-13211.770510371865
12,Structure 1,Structure 4,338,6672,4,2.9842998909758127,94.82157253821254,-77.00263311279365,1.0,3899.7968718856573,23721.928081287726
