cluster,structure_id,structure_name,cluster_cell_count,structure_cell_count,fraction_of_structure,fraction_of_case
1,1,Structure 1,24022,37067,0.648069711603313,0.1443950878500628
7,1,Structure 1,8701,37067,0.23473709768797044,0.052301292955765404
17,1,Structure 1,2243,37067,0.060512045754984214,0.013482565233856086
18,1,Structure 1,2101,37067,0.05668114495373243,0.01262901005632262
2,2,Structure 2,20259,94973,0.21331325745211796,0.12177587564542597
4,2,Structure 2,16089,94973,0.1694060417171196,0.09671020599532348
5,2,Structure 2,13948,94973,0.1468627925831552,0.08384075786082242
6,2,Structure 2,9726,94973,0.10240805281501059,0.05846251870908796
8,2,Structure 2,7255,94973,0.07639013193223337,0.04360945642961476
9,2,Structure 2,6316,94973,0.06650311141061144,0.037965172544375855
10,2,Structure 2,5777,94973,0.06082781422088383,0.03472526944092136
11,2,Structure 2,5726,94973,0.0602908194960673,0.03441871089124385
14,2,Structure 2,4790,94973,0.050435386899434574,0.028792459861868323
15,2,Structure 2,4687,94973,0.049350868141471785,0.028173331810558838
20,2,Structure 2,400,94973,0.004211723331894328,0.0024043807817844113
3,3,Structure 3,19612,34323,0.571395274305859,0.11788678973088969
12,3,Structure 3,5537,34323,0.16132039740115958,0.03328264097185071
13,3,Structure 3,5468,34323,0.1593100836173994,0.0328678852869929
16,3,Structure 3,2871,34323,0.08364653439384669,0.01725744306125761
19,3,Structure 3,835,34323,0.02432771028173528,0.005019144881974958
