Selection,X,Y
S1 Structure 1 #1.1,1091.479786,4720.753101
S1 Structure 1 #1.1,1052.154535,4720.753101
S1 Structure 1 #1.1,1012.829283,4720.753101
S1 Structure 1 #1.1,993.166657,4702.360106
S1 Structure 1 #1.1,973.504032,4683.96711
S1 Structure 1 #1.1,934.17878,4683.96711
S1 Structure 1 #1.1,894.853529,4683.96711
S1 Structure 1 #1.1,875.190903,4665.574115
S1 Structure 1 #1.1,855.528277,4647.181119
S1 Structure 1 #1.1,835.865651,4628.788124
S1 Structure 1 #1.1,816.203026,4610.395129
S1 Structure 1 #1.1,796.5404,4592.002133
S1 Structure 1 #1.1,796.5404,4555.216142
S1 Structure 1 #1.1,796.5404,4518.430152
S1 Structure 1 #1.1,816.203026,4500.037156
S1 Structure 1 #1.1,835.865651,4481.644161
S1 Structure 1 #1.1,855.528277,4463.251165
S1 Structure 1 #1.1,894.853529,4463.251165
S1 Structure 1 #1.1,914.516154,4444.85817
S1 Structure 1 #1.1,934.17878,4426.465175
S1 Structure 1 #1.1,973.504032,4426.465175
S1 Structure 1 #1.1,1012.829283,4426.465175
S1 Structure 1 #1.1,1032.491909,4408.072179
S1 Structure 1 #1.1,1052.154535,4389.679184
S1 Structure 1 #1.1,1071.81716,4371.286188
S1 Structure 1 #1.1,1071.81716,4334.500197
S1 Structure 1 #1.1,1071.81716,4297.714207
S1 Structure 1 #1.1,1052.154535,4279.321211
S1 Structure 1 #1.1,1032.491909,4260.928216
S1 Structure 1 #1.1,1012.829283,4242.53522
S1 Structure 1 #1.1,993.166657,4224.142225
S1 Structure 1 #1.1,973.504032,4205.74923
S1 Structure 1 #1.1,953.841406,4187.356234
S1 Structure 1 #1.1,953.841406,4150.570243
S1 Structure 1 #1.1,934.17878,4132.177248
S1 Structure 1 #1.1,914.516154,4113.784253
S1 Structure 1 #1.1,894.853529,4095.391257
S1 Structure 1 #1.1,875.190903,4076.998262
S1 Structure 1 #1.1,855.528277,4058.605266
S1 Structure 1 #1.1,835.865651,4040.212271
S1 Structure 1 #1.1,816.203026,4021.819276
S1 Structure 1 #1.1,796.5404,4003.42628
S1 Structure 1 #1.1,776.877774,3985.033285
S1 Structure 1 #1.1,737.552523,3985.033285
S1 Structure 1 #1.1,698.227271,3985.033285
S1 Structure 1 #1.1,658.90202,3985.033285
S1 Structure 1 #1.1,619.576768,3985.033285
S1 Structure 1 #1.1,580.251517,3985.033285
S1 Structure 1 #1.1,560.588891,4003.42628
S1 Structure 1 #1.1,540.926265,4021.819276
S1 Structure 1 #1.1,521.263639,4040.212271
S1 Structure 1 #1.1,501.601014,4058.605266
S1 Structure 1 #1.1,462.275762,4058.605266
S1 Structure 1 #1.1,422.950511,4058.605266
S1 Structure 1 #1.1,403.287885,4040.212271
S1 Structure 1 #1.1,383.625259,4021.819276
S1 Structure 1 #1.1,363.962633,4003.42628
S1 Structure 1 #1.1,344.300008,3985.033285
S1 Structure 1 #1.1,304.974756,3985.033285
S1 Structure 1 #1.1,285.31213,3966.640289
S1 Structure 1 #1.1,265.649505,3948.247294
S1 Structure 1 #1.1,245.986879,3929.854299
S1 Structure 1 #1.1,226.324253,3911.461303
S1 Structure 1 #1.1,206.661627,3893.068308
S1 Structure 1 #1.1,186.999002,3874.675312
S1 Structure 1 #1.1,167.336376,3856.282317
S1 Structure 1 #1.1,147.67375,3837.889322
S1 Structure 1 #1.1,128.011124,3819.496326
S1 Structure 1 #1.1,128.011124,3782.710335
S1 Structure 1 #1.1,128.011124,3745.924345
S1 Structure 1 #1.1,147.67375,3727.531349
S1 Structure 1 #1.1,167.336376,3709.138354
S1 Structure 1 #1.1,186.999002,3690.745358
S1 Structure 1 #1.1,206.661627,3672.352363
S1 Structure 1 #1.1,226.324253,3653.959368
S1 Structure 1 #1.1,245.986879,3635.566372
S1 Structure 1 #1.1,226.324253,3617.173377
S1 Structure 1 #1.1,206.661627,3598.780381
S1 Structure 1 #1.1,186.999002,3580.387386
S1 Structure 1 #1.1,167.336376,3561.99439
S1 Structure 1 #1.1,147.67375,3543.601395
S1 Structure 1 #1.1,108.348499,3543.601395
S1 Structure 1 #1.1,69.023247,3543.601395
S1 Structure 1 #1.1,49.360621,3525.2084
S1 Structure 1 #1.1,69.023247,3506.815404
S1 Structure 1 #1.1,88.685873,3488.422409
S1 Structure 1 #1.1,69.023247,3470.029413
S1 Structure 1 #1.1,49.360621,3451.636418
S1 Structure 1 #1.1,69.023247,3433.243423
S1 Structure 1 #1.1,88.685873,3414.850427
S1 Structure 1 #1.1,69.023247,3396.457432
S1 Structure 1 #1.1,49.360621,3378.064436
S1 Structure 1 #1.1,69.023247,3359.671441
S1 Structure 1 #1.1,88.685873,3341.278446
S1 Structure 1 #1.1,88.685873,3304.492455
S1 Structure 1 #1.1,88.685873,3267.706464
S1 Structure 1 #1.1,88.685873,3230.920473
S1 Structure 1 #1.1,88.685873,3194.134482
S1 Structure 1 #1.1,88.685873,3157.348492
S1 Structure 1 #1.1,88.685873,3120.562501
S1 Structure 1 #1.1,88.685873,3083.77651
S1 Structure 1 #1.1,69.023247,3065.383515
S1 Structure 1 #1.1,49.360621,3046.990519
S1 Structure 1 #1.1,49.360621,3010.204528
S1 Structure 1 #1.1,69.023247,2991.811533
S1 Structure 1 #1.1,88.685873,2973.418538
S1 Structure 1 #1.1,88.685873,2936.632547
S1 Structure 1 #1.1,69.023247,2918.239551
S1 Structure 1 #1.1,49.360621,2899.846556
S1 Structure 1 #1.1,69.023247,2881.453561
S1 Structure 1 #1.1,88.685873,2863.060565
S1 Structure 1 #1.1,88.685873,2826.274574
S1 Structure 1 #1.1,69.023247,2807.881579
S1 Structure 1 #1.1,49.360621,2789.488584
S1 Structure 1 #1.1,69.023247,2771.095588
S1 Structure 1 #1.1,88.685873,2752.702593
S1 Structure 1 #1.1,88.685873,2715.916602
S1 Structure 1 #1.1,88.685873,2679.130611
S1 Structure 1 #1.1,69.023247,2660.737616
S1 Structure 1 #1.1,29.697996,2660.737616
S1 Structure 1 #1.1,10.03537,2642.34462
S1 Structure 1 #1.1,29.697996,2623.951625
S1 Structure 1 #1.1,69.023247,2623.951625
S1 Structure 1 #1.1,88.685873,2605.558629
S1 Structure 1 #1.1,88.685873,2568.772639
S1 Structure 1 #1.1,88.685873,2531.986648
S1 Structure 1 #1.1,88.685873,2495.200657
S1 Structure 1 #1.1,88.685873,2458.414666
S1 Structure 1 #1.1,88.685873,2421.628675
S1 Structure 1 #1.1,88.685873,2384.842685
S1 Structure 1 #1.1,69.023247,2366.449689
S1 Structure 1 #1.1,49.360621,2348.056694
S1 Structure 1 #1.1,69.023247,2329.663698
S1 Structure 1 #1.1,88.685873,2311.270703
S1 Structure 1 #1.1,88.685873,2274.484712
S1 Structure 1 #1.1,88.685873,2237.698721
S1 Structure 1 #1.1,88.685873,2200.912731
S1 Structure 1 #1.1,69.023247,2182.519735
S1 Structure 1 #1.1,49.360621,2164.12674
S1 Structure 1 #1.1,69.023247,2145.733744
S1 Structure 1 #1.1,88.685873,2127.340749
S1 Structure 1 #1.1,69.023247,2108.947754
S1 Structure 1 #1.1,49.360621,2090.554758
S1 Structure 1 #1.1,49.360621,2053.768767
S1 Structure 1 #1.1,49.360621,2016.982777
S1 Structure 1 #1.1,29.697996,1998.589781
S1 Structure 1 #1.1,10.03537,1980.196786
S1 Structure 1 #1.1,29.697996,1961.80379
S1 Structure 1 #1.1,69.023247,1961.80379
S1 Structure 1 #1.1,88.685873,1943.410795
S1 Structure 1 #1.1,69.023247,1925.017799
S1 Structure 1 #1.1,49.360621,1906.624804
S1 Structure 1 #1.1,69.023247,1888.231809
S1 Structure 1 #1.1,88.685873,1869.838813
S1 Structure 1 #1.1,88.685873,1833.052822
S1 Structure 1 #1.1,88.685873,1796.266832
S1 Structure 1 #1.1,69.023247,1777.873836
S1 Structure 1 #1.1,29.697996,1777.873836
S1 Structure 1 #1.1,10.03537,1759.480841
S1 Structure 1 #1.1,29.697996,1741.087845
S1 Structure 1 #1.1,69.023247,1741.087845
S1 Structure 1 #1.1,88.685873,1722.69485
S1 Structure 1 #1.1,69.023247,1704.301855
S1 Structure 1 #1.1,29.697996,1704.301855
S1 Structure 1 #1.1,10.03537,1685.908859
S1 Structure 1 #1.1,29.697996,1667.515864
S1 Structure 1 #1.1,49.360621,1649.122868
S1 Structure 1 #1.1,49.360621,1612.336878
S1 Structure 1 #1.1,69.023247,1593.943882
S1 Structure 1 #1.1,88.685873,1575.550887
S1 Structure 1 #1.1,88.685873,1538.764896
S1 Structure 1 #1.1,88.685873,1501.978905
S1 Structure 1 #1.1,69.023247,1483.58591
S1 Structure 1 #1.1,49.360621,1465.192914
S1 Structure 1 #1.1,69.023247,1446.799919
S1 Structure 1 #1.1,88.685873,1428.406924
S1 Structure 1 #1.1,88.685873,1391.620933
S1 Structure 1 #1.1,69.023247,1373.227937
S1 Structure 1 #1.1,29.697996,1373.227937
S1 Structure 1 #1.1,10.03537,1354.834942
S1 Structure 1 #1.1,29.697996,1336.441947
S1 Structure 1 #1.1,49.360621,1318.048951
S1 Structure 1 #1.1,29.697996,1299.655956
S1 Structure 1 #1.1,10.03537,1281.26296
S1 Structure 1 #1.1,10.03537,1244.47697
S1 Structure 1 #1.1,10.03537,1207.690979
S1 Structure 1 #1.1,29.697996,1189.297983
S1 Structure 1 #1.1,49.360621,1170.904988
S1 Structure 1 #1.1,49.360621,1134.118997
S1 Structure 1 #1.1,29.697996,1115.726002
S1 Structure 1 #1.1,10.03537,1097.333006
S1 Structure 1 #1.1,10.03537,1060.547015
S1 Structure 1 #1.1,29.697996,1042.15402
S1 Structure 1 #1.1,49.360621,1023.761025
S1 Structure 1 #1.1,29.697996,1005.368029
