Selection,StructureID,AssignedStructure,ComponentIndex,PolygonIndex,VertexCount
S1 Structure 1 #1.1,1,Structure 1,1,1,529
S1 Structure 1 #2.1,1,Structure 1,2,1,5
S1 Structure 1 #3.1,1,Structure 1,3,1,5
S1 Structure 1 #4.1,1,Structure 1,4,1,43
S1 Structure 1 #5.1,1,Structure 1,5,1,5
S1 Structure 1 #6.1,1,Structure 1,6,1,35
S1 Structure 1 #7.1,1,Structure 1,7,1,5755
S1 Structure 1 #8.1,1,Structure 1,8,1,65
S1 Structure 1 #9.1,1,Structure 1,9,1,51
S1 Structure 1 #10.1,1,Structure 1,10,1,5
S1 Structure 1 #11.1,1,Structure 1,11,1,5
S1 Structure 1 #12.1,1,Structure 1,12,1,77
S1 Structure 1 #13.1,1,Structure 1,13,1,5
S1 Structure 1 #14.1,1,Structure 1,14,1,5
S1 Structure 1 #15.1,1,Structure 1,15,1,9
S1 Structure 1 #16.1,1,Structure 1,16,1,5
S1 Structure 1 #17.1,1,Structure 1,17,1,9
S1 Structure 1 #18.1,1,Structure 1,18,1,7
S1 Structure 1 #19.1,1,Structure 1,19,1,147
S1 Structure 1 #20.1,1,Structure 1,20,1,5
S1 Structure 1 #21.1,1,Structure 1,21,1,5
S1 Structure 1 #22.1,1,Structure 1,22,1,5
S1 Structure 1 #23.1,1,Structure 1,23,1,5
S1 Structure 1 #24.1,1,Structure 1,24,1,5
S1 Structure 1 #25.1,1,Structure 1,25,1,7
S1 Structure 1 #26.1,1,Structure 1,26,1,5
S1 Structure 1 #27.1,1,Structure 1,27,1,5
S1 Structure 1 #28.1,1,Structure 1,28,1,5
S1 Structure 1 #29.1,1,Structure 1,29,1,5
S1 Structure 1 #30.1,1,Structure 1,30,1,5
S1 Structure 1 #31.1,1,Structure 1,31,1,5
S1 Structure 1 #32.1,1,Structure 1,32,1,37
S1 Structure 1 #33.1,1,Structure 1,33,1,5
S1 Structure 1 #34.1,1,Structure 1,34,1,49
S1 Structure 1 #35.1,1,Structure 1,35,1,35
S1 Structure 1 #36.1,1,Structure 1,36,1,39
S1 Structure 1 #37.1,1,Structure 1,37,1,17
S1 Structure 1 #38.1,1,Structure 1,38,1,33
S1 Structure 1 #39.1,1,Structure 1,39,1,325
S1 Structure 1 #40.1,1,Structure 1,40,1,5
S1 Structure 1 #41.1,1,Structure 1,41,1,19
S1 Structure 1 #42.1,1,Structure 1,42,1,15
S1 Structure 1 #43.1,1,Structure 1,43,1,87
S1 Structure 1 #44.1,1,Structure 1,44,1,61
S1 Structure 1 #45.1,1,Structure 1,45,1,15
S1 Structure 1 #46.1,1,Structure 1,46,1,99
S1 Structure 1 #47.1,1,Structure 1,47,1,87
S1 Structure 1 #48.1,1,Structure 1,48,1,55
S1 Structure 1 #49.1,1,Structure 1,49,1,5
S1 Structure 1 #50.1,1,Structure 1,50,1,5
S1 Structure 1 #51.1,1,Structure 1,51,1,73
S1 Structure 1 #52.1,1,Structure 1,52,1,81
S1 Structure 1 #53.1,1,Structure 1,53,1,5
S1 Structure 1 #54.1,1,Structure 1,54,1,89
S1 Structure 1 #55.1,1,Structure 1,55,1,7
S1 Structure 1 #56.1,1,Structure 1,56,1,7
S1 Structure 1 #57.1,1,Structure 1,57,1,7
S1 Structure 1 #58.1,1,Structure 1,58,1,9
S1 Structure 1 #59.1,1,Structure 1,59,1,5
S1 Structure 1 #60.1,1,Structure 1,60,1,5
S1 Structure 1 #61.1,1,Structure 1,61,1,5
S1 Structure 1 #62.1,1,Structure 1,62,1,33
S1 Structure 1 #63.1,1,Structure 1,63,1,55
S1 Structure 1 #64.1,1,Structure 1,64,1,13
S1 Structure 1 #65.1,1,Structure 1,65,1,39
S1 Structure 1 #66.1,1,Structure 1,66,1,125
S2 Structure 2 #1.1,2,Structure 2,1,1,5
S2 Structure 2 #2.1,2,Structure 2,2,1,5
S2 Structure 2 #3.1,2,Structure 2,3,1,5
S2 Structure 2 #4.1,2,Structure 2,4,1,5
S2 Structure 2 #5.1,2,Structure 2,5,1,5
S2 Structure 2 #6.1,2,Structure 2,6,1,5
S2 Structure 2 #7.1,2,Structure 2,7,1,5
S2 Structure 2 #8.1,2,Structure 2,8,1,231
S2 Structure 2 #9.1,2,Structure 2,9,1,5
S2 Structure 2 #10.1,2,Structure 2,10,1,5
S2 Structure 2 #11.1,2,Structure 2,11,1,5
S2 Structure 2 #12.1,2,Structure 2,12,1,5
S2 Structure 2 #13.1,2,Structure 2,13,1,5
S2 Structure 2 #14.1,2,Structure 2,14,1,12771
S2 Structure 2 #15.1,2,Structure 2,15,1,5
S2 Structure 2 #16.1,2,Structure 2,16,1,7
