cluster,structure_id,structure_name,cluster_cell_count,structure_cell_count,fraction_of_structure,fraction_of_case
1,1,Structure 1,15570,21477,0.7249615868138009,0.13118096570085347
16,1,Structure 1,2729,21477,0.12706616380313823,0.02299247626189012
19,1,Structure 1,1903,21477,0.08860641616613121,0.016033229141215424
22,1,Structure 1,1275,21477,0.05936583321692974,0.010742179272227885
2,2,Structure 2,11472,69703,0.16458402077385478,0.09665433773411632
3,2,Structure 2,10912,69703,0.1565499332883807,0.09193620409298094
4,2,Structure 2,8394,69703,0.1204252327733383,0.07072145318516147
5,2,Structure 2,7595,69703,0.10896231152174225,0.06398968750789866
6,2,Structure 2,7335,69703,0.105232199474915,0.061799125460228664
9,2,Structure 2,5120,69703,0.0734545141529059,0.04313722186180924
12,2,Structure 2,4589,69703,0.06583647762650101,0.038663420141375505
13,2,Structure 2,4097,69703,0.05877795790712021,0.03451820272809227
14,2,Structure 2,3979,69703,0.057085060901252455,0.033524024567995886
15,2,Structure 2,3931,69703,0.056396424831068964,0.03311961311304143
20,2,Structure 2,1862,69703,0.026713340889201326,0.015687794356775156
24,2,Structure 2,417,69703,0.0059825258597190935,0.003513324514916885
7,3,Structure 3,5968,25472,0.2342964824120603,0.05028182423267139
8,3,Structure 3,5264,25472,0.20665829145728642,0.04435045622667262
10,3,Structure 3,4664,25472,0.18310301507537688,0.039295313039741854
11,3,Structure 3,4593,25472,0.18031564070351758,0.038697121095955044
17,3,Structure 3,2649,25472,0.10399654522613065,0.022318457170299347
18,3,Structure 3,2334,25472,0.09163002512562814,0.019664506997160696
21,4,Structure 4,1318,2039,0.6463952918097107,0.011104464533957924
23,4,Structure 4,469,2039,0.23001471309465424,0.003951436924450885
25,4,Structure 4,252,2039,0.12358999509563512,0.0021231601385109235
