Selection,X,Y
S1 Structure 1 #1.1,2940.61576,49.379827
S1 Structure 1 #1.1,2920.956211,30.993898
S1 Structure 1 #1.1,2940.61576,12.607969
S1 Structure 1 #1.1,2960.275309,30.993898
S1 Structure 1 #1.1,2940.61576,49.379827
S1 Structure 1 #2.1,3019.253956,49.379827
S1 Structure 1 #2.1,2999.594407,30.993898
S1 Structure 1 #2.1,3019.253956,12.607969
S1 Structure 1 #2.1,3038.913505,30.993898
S1 Structure 1 #2.1,3019.253956,49.379827
S1 Structure 1 #3.1,3097.892152,49.379827
S1 Structure 1 #3.1,3078.232603,30.993898
S1 Structure 1 #3.1,3097.892152,12.607969
S1 Structure 1 #3.1,3117.551702,30.993898
S1 Structure 1 #3.1,3097.892152,49.379827
S1 Structure 1 #4.1,3176.530349,49.379827
S1 Structure 1 #4.1,3156.8708,30.993898
S1 Structure 1 #4.1,3176.530349,12.607969
S1 Structure 1 #4.1,3196.189898,30.993898
S1 Structure 1 #4.1,3176.530349,49.379827
S1 Structure 1 #5.1,5732.271726,14022.685668
S1 Structure 1 #5.1,5692.952628,14022.685668
S1 Structure 1 #5.1,5653.63353,14022.685668
S1 Structure 1 #5.1,5614.314432,14022.685668
S1 Structure 1 #5.1,5574.995333,14022.685668
S1 Structure 1 #5.1,5535.676235,14022.685668
S1 Structure 1 #5.1,5516.016686,14004.299739
S1 Structure 1 #5.1,5496.357137,13985.913811
S1 Structure 1 #5.1,5476.697588,13967.527882
S1 Structure 1 #5.1,5457.038039,13949.141953
S1 Structure 1 #5.1,5437.37849,13930.756024
S1 Structure 1 #5.1,5437.37849,13893.984167
S1 Structure 1 #5.1,5437.37849,13857.212309
S1 Structure 1 #5.1,5437.37849,13820.440452
S1 Structure 1 #5.1,5437.37849,13783.668594
S1 Structure 1 #5.1,5457.038039,13765.282666
S1 Structure 1 #5.1,5476.697588,13746.896737
S1 Structure 1 #5.1,5476.697588,13710.124879
S1 Structure 1 #5.1,5476.697588,13673.353022
S1 Structure 1 #5.1,5476.697588,13636.581164
S1 Structure 1 #5.1,5496.357137,13618.195236
S1 Structure 1 #5.1,5516.016686,13599.809307
S1 Structure 1 #5.1,5516.016686,13563.03745
S1 Structure 1 #5.1,5535.676235,13544.651521
S1 Structure 1 #5.1,5555.335784,13526.265592
S1 Structure 1 #5.1,5574.995333,13507.879663
S1 Structure 1 #5.1,5614.314432,13507.879663
S1 Structure 1 #5.1,5633.973981,13489.493735
S1 Structure 1 #5.1,5614.314432,13471.107806
S1 Structure 1 #5.1,5594.654882,13452.721877
S1 Structure 1 #5.1,5574.995333,13434.335948
S1 Structure 1 #5.1,5555.335784,13415.95002
S1 Structure 1 #5.1,5535.676235,13397.564091
S1 Structure 1 #5.1,5496.357137,13397.564091
S1 Structure 1 #5.1,5476.697588,13379.178162
S1 Structure 1 #5.1,5457.038039,13360.792233
S1 Structure 1 #5.1,5417.718941,13360.792233
S1 Structure 1 #5.1,5398.059392,13342.406305
S1 Structure 1 #5.1,5378.399843,13324.020376
S1 Structure 1 #5.1,5358.740294,13305.634447
S1 Structure 1 #5.1,5339.080745,13287.248518
S1 Structure 1 #5.1,5319.421196,13268.86259
S1 Structure 1 #5.1,5299.761647,13250.476661
S1 Structure 1 #5.1,5260.442549,13250.476661
S1 Structure 1 #5.1,5240.782999,13232.090732
S1 Structure 1 #5.1,5240.782999,13195.318875
S1 Structure 1 #5.1,5221.12345,13176.932946
S1 Structure 1 #5.1,5201.463901,13158.547017
S1 Structure 1 #5.1,5201.463901,13121.77516
S1 Structure 1 #5.1,5201.463901,13085.003302
S1 Structure 1 #5.1,5201.463901,13048.231445
S1 Structure 1 #5.1,5201.463901,13011.459587
S1 Structure 1 #5.1,5201.463901,12974.68773
S1 Structure 1 #5.1,5201.463901,12937.915872
S1 Structure 1 #5.1,5181.804352,12919.529944
S1 Structure 1 #5.1,5162.144803,12901.144015
S1 Structure 1 #5.1,5162.144803,12864.372157
S1 Structure 1 #5.1,5162.144803,12827.6003
S1 Structure 1 #5.1,5162.144803,12790.828443
S1 Structure 1 #5.1,5142.485254,12772.442514
S1 Structure 1 #5.1,5122.825705,12754.056585
S1 Structure 1 #5.1,5142.485254,12735.670656
S1 Structure 1 #5.1,5162.144803,12717.284728
S1 Structure 1 #5.1,5162.144803,12680.51287
S1 Structure 1 #5.1,5181.804352,12662.126941
S1 Structure 1 #5.1,5201.463901,12643.741013
S1 Structure 1 #5.1,5221.12345,12625.355084
S1 Structure 1 #5.1,5260.442549,12625.355084
S1 Structure 1 #5.1,5280.102098,12606.969155
S1 Structure 1 #5.1,5299.761647,12588.583226
S1 Structure 1 #5.1,5319.421196,12570.197298
S1 Structure 1 #5.1,5319.421196,12533.42544
S1 Structure 1 #5.1,5319.421196,12496.653583
S1 Structure 1 #5.1,5299.761647,12478.267654
S1 Structure 1 #5.1,5280.102098,12459.881725
S1 Structure 1 #5.1,5280.102098,12423.109868
S1 Structure 1 #5.1,5280.102098,12386.33801
S1 Structure 1 #5.1,5280.102098,12349.566153
S1 Structure 1 #5.1,5280.102098,12312.794295
S1 Structure 1 #5.1,5280.102098,12276.022438
S1 Structure 1 #5.1,5260.442549,12257.636509
S1 Structure 1 #5.1,5240.782999,12239.25058
S1 Structure 1 #5.1,5221.12345,12220.864652
S1 Structure 1 #5.1,5181.804352,12220.864652
S1 Structure 1 #5.1,5142.485254,12220.864652
