Selection,StructureID,AssignedStructure,ComponentIndex,PolygonIndex,VertexCount
S1 Structure 1 #1.1,1,Structure 1,1,1,5
S1 Structure 1 #2.1,1,Structure 1,2,1,5
S1 Structure 1 #3.1,1,Structure 1,3,1,5
S1 Structure 1 #4.1,1,Structure 1,4,1,5
S1 Structure 1 #5.1,1,Structure 1,5,1,3393
S1 Structure 1 #6.1,1,Structure 1,6,1,5
S1 Structure 1 #7.1,1,Structure 1,7,1,5
S1 Structure 1 #8.1,1,Structure 1,8,1,7
S1 Structure 1 #9.1,1,Structure 1,9,1,5
S1 Structure 1 #10.1,1,Structure 1,10,1,5
S1 Structure 1 #11.1,1,Structure 1,11,1,7
S1 Structure 1 #12.1,1,Structure 1,12,1,5
S1 Structure 1 #13.1,1,Structure 1,13,1,5
S1 Structure 1 #14.1,1,Structure 1,14,1,5
S1 Structure 1 #15.1,1,Structure 1,15,1,5
S1 Structure 1 #16.1,1,Structure 1,16,1,5
S1 Structure 1 #17.1,1,Structure 1,17,1,9
S1 Structure 1 #18.1,1,Structure 1,18,1,9
S1 Structure 1 #19.1,1,Structure 1,19,1,5
S1 Structure 1 #20.1,1,Structure 1,20,1,7
S1 Structure 1 #21.1,1,Structure 1,21,1,5
S1 Structure 1 #22.1,1,Structure 1,22,1,5
S1 Structure 1 #23.1,1,Structure 1,23,1,5
S1 Structure 1 #24.1,1,Structure 1,24,1,5
S1 Structure 1 #25.1,1,Structure 1,25,1,5
S1 Structure 1 #26.1,1,Structure 1,26,1,5
S1 Structure 1 #27.1,1,Structure 1,27,1,7
S1 Structure 1 #28.1,1,Structure 1,28,1,5
S1 Structure 1 #29.1,1,Structure 1,29,1,5
S1 Structure 1 #30.1,1,Structure 1,30,1,5
S1 Structure 1 #31.1,1,Structure 1,31,1,5
S1 Structure 1 #32.1,1,Structure 1,32,1,7
S1 Structure 1 #33.1,1,Structure 1,33,1,5
S1 Structure 1 #34.1,1,Structure 1,34,1,5
S1 Structure 1 #35.1,1,Structure 1,35,1,5
S1 Structure 1 #36.1,1,Structure 1,36,1,5
S1 Structure 1 #37.1,1,Structure 1,37,1,7
S1 Structure 1 #38.1,1,Structure 1,38,1,5
S1 Structure 1 #39.1,1,Structure 1,39,1,5
S1 Structure 1 #40.1,1,Structure 1,40,1,5
S1 Structure 1 #41.1,1,Structure 1,41,1,5
S1 Structure 1 #42.1,1,Structure 1,42,1,331
S1 Structure 1 #43.1,1,Structure 1,43,1,9
S1 Structure 1 #44.1,1,Structure 1,44,1,5
S1 Structure 1 #45.1,1,Structure 1,45,1,5
S1 Structure 1 #46.1,1,Structure 1,46,1,5
S1 Structure 1 #47.1,1,Structure 1,47,1,5
S1 Structure 1 #48.1,1,Structure 1,48,1,5
S1 Structure 1 #49.1,1,Structure 1,49,1,5
S1 Structure 1 #50.1,1,Structure 1,50,1,7
S1 Structure 1 #51.1,1,Structure 1,51,1,5
S1 Structure 1 #52.1,1,Structure 1,52,1,5
S1 Structure 1 #53.1,1,Structure 1,53,1,5
S1 Structure 1 #54.1,1,Structure 1,54,1,5
S1 Structure 1 #55.1,1,Structure 1,55,1,7
S1 Structure 1 #56.1,1,Structure 1,56,1,7
S1 Structure 1 #57.1,1,Structure 1,57,1,5
S1 Structure 1 #58.1,1,Structure 1,58,1,5
S1 Structure 1 #59.1,1,Structure 1,59,1,5
S1 Structure 1 #60.1,1,Structure 1,60,1,5
S1 Structure 1 #61.1,1,Structure 1,61,1,25
S1 Structure 1 #62.1,1,Structure 1,62,1,5
S1 Structure 1 #63.1,1,Structure 1,63,1,33
S1 Structure 1 #64.1,1,Structure 1,64,1,5
S1 Structure 1 #65.1,1,Structure 1,65,1,9
S1 Structure 1 #66.1,1,Structure 1,66,1,45
S1 Structure 1 #67.1,1,Structure 1,67,1,5
S1 Structure 1 #68.1,1,Structure 1,68,1,5
S1 Structure 1 #69.1,1,Structure 1,69,1,13
S1 Structure 1 #70.1,1,Structure 1,70,1,19
S1 Structure 1 #71.1,1,Structure 1,71,1,25
S1 Structure 1 #72.1,1,Structure 1,72,1,73
S1 Structure 1 #73.1,1,Structure 1,73,1,93
S1 Structure 1 #74.1,1,Structure 1,74,1,5
S1 Structure 1 #75.1,1,Structure 1,75,1,5
S1 Structure 1 #76.1,1,Structure 1,76,1,109
S1 Structure 1 #77.1,1,Structure 1,77,1,5
S1 Structure 1 #78.1,1,Structure 1,78,1,5
S1 Structure 1 #79.1,1,Structure 1,79,1,5
S1 Structure 1 #80.1,1,Structure 1,80,1,5
S1 Structure 1 #81.1,1,Structure 1,81,1,27
S1 Structure 1 #82.1,1,Structure 1,82,1,5
S1 Structure 1 #83.1,1,Structure 1,83,1,97
S1 Structure 1 #84.1,1,Structure 1,84,1,47
S1 Structure 1 #85.1,1,Structure 1,85,1,27
S1 Structure 1 #86.1,1,Structure 1,86,1,53
S1 Structure 1 #87.1,1,Structure 1,87,1,19
S1 Structure 1 #88.1,1,Structure 1,88,1,5
S1 Structure 1 #89.1,1,Structure 1,89,1,5
S1 Structure 1 #90.1,1,Structure 1,90,1,51
S1 Structure 1 #91.1,1,Structure 1,91,1,13
S1 Structure 1 #92.1,1,Structure 1,92,1,5
S1 Structure 1 #93.1,1,Structure 1,93,1,9
S1 Structure 1 #94.1,1,Structure 1,94,1,19
S1 Structure 1 #95.1,1,Structure 1,95,1,65
S1 Structure 1 #96.1,1,Structure 1,96,1,65
S1 Structure 1 #97.1,1,Structure 1,97,1,7
S1 Structure 1 #98.1,1,Structure 1,98,1,47
S1 Structure 1 #99.1,1,Structure 1,99,1,111
S1 Structure 1 #100.1,1,Structure 1,100,1,19
S1 Structure 1 #101.1,1,Structure 1,101,1,21
S1 Structure 1 #102.1,1,Structure 1,102,1,5
S1 Structure 1 #103.1,1,Structure 1,103,1,25
S1 Structure 1 #104.1,1,Structure 1,104,1,9
S1 Structure 1 #105.1,1,Structure 1,105,1,29
S1 Structure 1 #106.1,1,Structure 1,106,1,29
S1 Structure 1 #107.1,1,Structure 1,107,1,91
S1 Structure 1 #108.1,1,Structure 1,108,1,393
S1 Structure 1 #109.1,1,Structure 1,109,1,21
S1 Structure 1 #110.1,1,Structure 1,110,1,5
S1 Structure 1 #111.1,1,Structure 1,111,1,33
S1 Structure 1 #112.1,1,Structure 1,112,1,615
S1 Structure 1 #113.1,1,Structure 1,113,1,165
S1 Structure 1 #114.1,1,Structure 1,114,1,5
S1 Structure 1 #115.1,1,Structure 1,115,1,5
S1 Structure 1 #116.1,1,Structure 1,116,1,57
S1 Structure 1 #117.1,1,Structure 1,117,1,11
S1 Structure 1 #118.1,1,Structure 1,118,1,51
S1 Structure 1 #119.1,1,Structure 1,119,1,129
S1 Structure 1 #120.1,1,Structure 1,120,1,21
S1 Structure 1 #121.1,1,Structure 1,121,1,29
S1 Structure 1 #122.1,1,Structure 1,122,1,55
S1 Structure 1 #123.1,1,Structure 1,123,1,25
S1 Structure 1 #124.1,1,Structure 1,124,1,23
S1 Structure 1 #125.1,1,Structure 1,125,1,25
S1 Structure 1 #126.1,1,Structure 1,126,1,7
S1 Structure 1 #127.1,1,Structure 1,127,1,25
S1 Structure 1 #128.1,1,Structure 1,128,1,5
S1 Structure 1 #129.1,1,Structure 1,129,1,39
S1 Structure 1 #130.1,1,Structure 1,130,1,193
S1 Structure 1 #131.1,1,Structure 1,131,1,127
S1 Structure 1 #132.1,1,Structure 1,132,1,43
S1 Structure 1 #133.1,1,Structure 1,133,1,41
S1 Structure 1 #134.1,1,Structure 1,134,1,123
S1 Structure 1 #135.1,1,Structure 1,135,1,85
S1 Structure 1 #136.1,1,Structure 1,136,1,53
S1 Structure 1 #137.1,1,Structure 1,137,1,203
S1 Structure 1 #138.1,1,Structure 1,138,1,15
S1 Structure 1 #139.1,1,Structure 1,139,1,37
S1 Structure 1 #140.1,1,Structure 1,140,1,65
S1 Structure 1 #141.1,1,Structure 1,141,1,49
S1 Structure 1 #142.1,1,Structure 1,142,1,5
S1 Structure 1 #143.1,1,Structure 1,143,1,53
S1 Structure 1 #144.1,1,Structure 1,144,1,31
S1 Structure 1 #145.1,1,Structure 1,145,1,61
S1 Structure 1 #146.1,1,Structure 1,146,1,37
