gene	histoseg_dominant_structure	top05_fraction_inside	signed_distance_um	nonzero_cell_count	marker_class	cell_tissue_interpretation	external_evidence_note	uniprot_accession	uniprot_url	hpa_url	pubmed_query_url
GREM1	Structure 5	0.862069	-35.00	155684	BMP antagonist / stromal niche cytokine	Structure 5 embedded stromal-immune niche; strongest GREM1 habitat in this panel.	UniProt describes GREM1 as a BMP antagonist cytokine with roles in carcinogenesis and organ patterning.	O60565	https://www.uniprot.org/uniprotkb/O60565/entry	https://www.proteinatlas.org/search/GREM1	https://pubmed.ncbi.nlm.nih.gov/?term=GREM1+colon+polyp
COL1A1	Structure 5	0.767387	-25.00	546317	ECM collagen / fibroblast matrix	Structure 5 ECM-rich stromal component of the mixed niche.	UniProt annotates COL1A1 as a type I fibrillar collagen chain, consistent with extracellular matrix-rich stroma.	P02452	https://www.uniprot.org/uniprotkb/P02452/entry	https://www.proteinatlas.org/search/COL1A1	https://pubmed.ncbi.nlm.nih.gov/?term=COL1A1+colon+polyp
COL1A2	Structure 5	0.756867	-25.00	567735	ECM collagen / fibroblast matrix	Structure 5 ECM-rich stromal component of the mixed niche.	UniProt annotates COL1A2 as the second type I fibrillar collagen chain, supporting ECM/fibroblast interpretation.	P08123	https://www.uniprot.org/uniprotkb/P08123/entry	https://www.proteinatlas.org/search/COL1A2	https://pubmed.ncbi.nlm.nih.gov/?term=COL1A2+colon+polyp
ACTA2	Structure 5	0.773232	-25.00	647533	myofibroblast or smooth-muscle contractility	Structure 5 contractile stromal/myofibroblast component.	UniProt describes smooth-muscle actin as a conserved actin involved in cell motility and contractile behavior.	P62736	https://www.uniprot.org/uniprotkb/P62736/entry	https://www.proteinatlas.org/search/ACTA2	https://pubmed.ncbi.nlm.nih.gov/?term=ACTA2+colon+polyp
PDGFRA	Structure 2	0.223846	45.00	170599	mesenchymal receptor / stromal-perivascular	Structure 2 mesenchymal-perivascular signal with weaker Structure 5 spillover.	UniProt describes PDGFRA as a receptor for PDGFA/B/C regulating proliferation, survival, chemotaxis, and mesenchymal differentiation.	P16234	https://www.uniprot.org/uniprotkb/P16234/entry	https://www.proteinatlas.org/search/PDGFRA	https://pubmed.ncbi.nlm.nih.gov/?term=PDGFRA+colon+polyp
TAGLN	Structure 5	0.792519	-25.00	285966	contractile stromal marker	Structure 5 contractile stromal signal, aligned with ACTA2/RGS5.	UniProt describes TAGLN as an actin cross-linking/gelling protein tied to calcium interactions and contractile properties.	Q01995	https://www.uniprot.org/uniprotkb/Q01995/entry	https://www.proteinatlas.org/search/TAGLN	https://pubmed.ncbi.nlm.nih.gov/?term=TAGLN+colon+polyp
FAP	Structure 5	0.793103	-35.00	20053	activated fibroblast / matrix remodeling protease	Structure 5 activated fibroblast and matrix-remodeling component.	UniProt describes FAP as a cell-surface serine protease involved in ECM degradation, remodeling, fibrosis, inflammation, and tumor growth.	Q12884	https://www.uniprot.org/uniprotkb/Q12884/entry	https://www.proteinatlas.org/search/FAP	https://pubmed.ncbi.nlm.nih.gov/?term=FAP+colon+polyp
EPCAM	Structure 4	0.414962	10.00	1679156	epithelial adhesion marker	Structure 4 epithelial compartment; supports epithelial identity with LGR5.	UniProt describes EPCAM as an epithelial adhesion molecule important at the mucosal epithelium and intestinal barrier.	P16422	https://www.uniprot.org/uniprotkb/P16422/entry	https://www.proteinatlas.org/search/EPCAM	https://pubmed.ncbi.nlm.nih.gov/?term=EPCAM+colon+polyp
MUC2	Structure 3	0.602572	-10.00	285352	goblet-cell mucin / secretory epithelium	Structure 3 secretory epithelial/goblet-cell compartment.	UniProt describes MUC2 as a major intestinal mucin forming a protective colon mucus barrier.	Q02817	https://www.uniprot.org/uniprotkb/Q02817/entry	https://www.proteinatlas.org/search/MUC2	https://pubmed.ncbi.nlm.nih.gov/?term=MUC2+colon+polyp
OLFM4	Structure 5	0.581531	-5.00	313028	intestinal epithelial differentiation / adhesion signal	Near-tied Structure 5/Structure 3 signal; interpreted as epithelial differentiation at a niche boundary.	UniProt links OLFM4 to adhesion, proliferation/differentiation programs, and myeloid-lineage expression contexts.	Q6UX06	https://www.uniprot.org/uniprotkb/Q6UX06/entry	https://www.proteinatlas.org/search/OLFM4	https://pubmed.ncbi.nlm.nih.gov/?term=OLFM4+colon+polyp
